NEIGHBORHOOD,Under_18_Count,Over_18_Count,Total_Count,Under_18_Percent_Local,Over_18_Percent_Local,Under_18_Percent_Global,Over_18_Percent_Global
Regent Square,3,34,37,0.08108108108108109,0.918918918918919,0.0008239494644328481,0.000566902876198416
Ridgemont,5,32,37,0.13513513513513514,0.8648648648648649,0.0013732491073880802,0.0005335556481867445
Shadyside,37,924,961,0.03850156087408949,0.9614984391259105,0.010162043394671794,0.015406419341392247
Sheraden,133,1147,1280,0.10390625,0.89609375,0.03652842625652293,0.019124635264693622
South Oakland,2,350,352,0.005681818181818182,0.9943181818181818,0.0005492996429552321,0.005835764902042517
South Shore,4,295,299,0.013377926421404682,0.9866220735785953,0.0010985992859104642,0.00491871613172155
South Side Flats,55,3401,3456,0.015914351851851853,0.9840856481481481,0.015105740181268883,0.056706961233847435
South Side Slopes,15,784,799,0.01877346683354193,0.981226533166458,0.004119747322164241,0.01307211338057524
Spring Garden,6,213,219,0.0273972602739726,0.9726027397260274,0.0016478989288656962,0.003551479783243018
Spring Hill-City View,45,664,709,0.06346967559943582,0.9365303244005642,0.012359241966492723,0.011071279699874948
Squirrel Hill North,18,271,289,0.06228373702422145,0.9377162629757786,0.004943696786597089,0.004518549395581492
Squirrel Hill South,128,674,802,0.1596009975062344,0.8403990024937655,0.03515517714913485,0.011238015839933306
St. Clair,3,52,55,0.05454545454545454,0.9454545454545454,0.0008239494644328481,0.0008670279283034597
Stanton Heights,8,213,221,0.03619909502262444,0.9638009049773756,0.0021971985718209283,0.003551479783243018
Strip District,3,499,502,0.00597609561752988,0.9940239043824701,0.0008239494644328481,0.008320133388912047
Summer Hill,0,76,76,0.0,1.0,0.0,0.0012671946644435181
Swisshelm Park,3,40,43,0.06976744186046512,0.9302325581395349,0.0008239494644328481,0.0006669445602334305
Terrace Village,8,289,297,0.026936026936026935,0.9730639730639731,0.0021971985718209283,0.004818674447686536
Troy Hill,9,429,438,0.02054794520547945,0.9794520547945206,0.0024718483932985444,0.007152980408503543
Troy Hill-Herrs Island,2,4,6,0.3333333333333333,0.6666666666666666,0.0005492996429552321,6.669445602334307e-05
Upper Hill,66,300,366,0.18032786885245902,0.819672131147541,0.01812688821752266,0.005002084201750729
Upper Lawrenceville,5,183,188,0.026595744680851064,0.973404255319149,0.0013732491073880802,0.003051271363067945
West End,6,284,290,0.020689655172413793,0.9793103448275862,0.0016478989288656962,0.0047353063776573575
West Oakland,4,320,324,0.012345679012345678,0.9876543209876543,0.0010985992859104642,0.005335556481867444
Westwood,11,213,224,0.049107142857142856,0.9508928571428571,0.0030211480362537764,0.003551479783243018
Windgap,12,112,124,0.0967741935483871,0.9032258064516129,0.0032957978577313925,0.0018674447686536056
